 ا 	 A
 كامڤوڠ ايت برنام كامڤوڠ مرباو 	 Kampung itu bernama Kampung Merbau
 سمڤت دي مندڠر دڠوسن درڤد توها 	 Sempat dia mendengar dengusan daripada Tuha
 دي ممرهاتيكن چندانا دڠن تليتي 	 Dia memerhatikan Cendana dengan teliti
 دي تروس ملنچركن تومبوقن ڤانتس 	 Dia terus melancarkan tumbukan pantas
 ڤنومبوقڽ دسيسي واجه ڬوروڽ ايت 	 Penumbuknya di sisi wajah gurunya itu
 اڤ يڠ مناريق سيلتڽ تيدق برڬاي 	 Apa yang menarik silatnya tidak bergaya
 سلڤس اين هندقله اڠكاو مڠمبارا 	 Selepas ini hendaklah engkau mengembara
 بريكن اونتوق ديريمو 36 ڤورنام 	 Berikan untuk dirimu 36 purnama
 اڤاكه اكو ممڤو  اديواج ترسڽوم 	 Apakah aku mampu  Adiwaja tersenyum
 مولوتڽ تركومت-كاميت دڠن ذيكير 	 Mulutnya terkumat-kamit dengan zikir
 سمبيل لڠكهن تروس دهايون كاكيڽ 	 Sambil langkahan terus dihayun kakinya
 سوده ليم تاهون دي تيدق كمبالي 	 Sudah lima tahun dia tidak kembali
 نيرنام ممبنتو اديواج مڽدياكنڽ 	 Nirnama membantu Adiwaja menyediakannya
 تتاڤي اكو سوده بياسا دان ممڤو 	 Tetapi aku sudah biasa dan mampu
 بنركه اكو بارو منداڤت خبر اين 	 Benarkah Aku baru mendapat khabar ini
 سمڤت دي ممرهاتيكن رواڠ ترسبوت 	 Sempat dia memerhatikan ruang tersebut
 مڠاڤ ككندا  اكو تيدق ممرلوكنڽ 	 Mengapa kakanda  Aku tidak memerlukannya
 نيرنام مليهت علاءالدين ترسنتق 	 Nirnama melihat Alauddin tersentak
 توبوه علاءالدين هيلڠ كسإيمبڠن 	 Tubuh Alauddin hilang keseimbangan
 بلاكڠ توبوه مريک ساليڠ برتنتڠ 	 Belakang tubuh mereka saling bertentang
 اكو اكن مڽوسول تيدق لاما لاڬي 	 Aku akan menyusul tidak lama lagi
 دي منوديڠ داداڽ دڠن ايبو جاري 	 Dia menuding dadanya dengan ibu jari
 سڠ كلمباي كليهتن تيدق برسنجات 	 Sang Kelembai kelihatan tidak bersenjata
 مڠحاصيلكن تكنن ڤرڬادوهن سڠکتا 	 Menghasilkan tekanan pergaduhan sengketa
 سموا اين ريميه سهاج ككندا جبت 	 Semua ini remeh sahaja Kakanda Jebat
 موڠكين اديندا ڤرلو بنر٢ برتنڠ 	 Mungkin adinda perlu benar-benar bertenang
 توها لڠسوڠ تيدق ممبريكن ڤلواڠ 	 Tuha langsung tidak memberikan peluang
 دي تاهو جبت ريساو اكن كأداءنڽ 	 Dia tahu Jebat risau akan keadaannya
 دي مڠاجوق كمودين كمبالي كتاوا 	 Dia mengajuk kemudian kembali ketawa
 سوده ڤستيله اڠكاو اكن ترتيواس 	 Sudah pastilah engkau akan tertewas
 لوتوت نيرنام برتمو لنتاي بومي 	 Lutut Nirnama bertemu lantai bumi
 تتڤ دسيسي باڬايكن ممبري سماڠت 	 Tetap di sisi bagaikan memberi semangat
 موڠكين حاضير باڬي ممبنتو توها 	 Mungkin hadir bagi membantu Tuha
 امڤون توانكو بريبو-ريبو امڤون 	 Ampun tuanku beribu-ribu ampun
 چندانا منچله چوبا منمبه سماڠت 	 Cendana mencelah cuba menambah semangat
 تيݢ قول دان ايات الكرسى دباچڽ 	 Tiga Qul dan Ayatul Qursi dibacanya
 ڤدحال كجاياءن سوده دالم ڬڠڬمن 	 Padahal kejayaan sudah dalam genggaman
 ڽاوا ڤرلاهن-لاهن منيڠڬلكن جسد 	 Nyawa perlahan-lahan meninggalkan jasad
 كمودين مريک سام٢ ممندڠ اديواج 	 Kemudian mereka sama-sama memandang Adiwaja
 لتقكنله دنيا دتاڠن بوكن دهاتي 	 Letakkanlah dunia di tangan bukan di hati
 تيدق لاڬي داڤت منروسكن تواجهن 	 Tidak lagi dapat meneruskan tujahan
 تروس توبوه كستوري ملايڠ كأرهڽ 	 Terus tubuh Kasturi melayang ke arahnya
 نامون توبوهڽ ملايڠ لبيه ڤانتس 	 Namun tubuhnya melayang lebih pantas
 جاڬت  ڤرڬرقن جاڬت سوچي ترهنتي 	 Jagat  Pergerakan Jagat Suci terhenti
 كستوري كمبالي ممندڠ جاڬت سوچي 	 Kasturi kembali memandang Jagat Suci
 ايت كتيک اكو تيدق بركأوڤاياءن 	 Itu ketika aku tidak berkeupayaan
 اديواج ممندڠ كأره سلطان منصور 	 Adiwaja memandang ke arah Sultan Mansur
 اكو اكن داڤت مڠجرڽ سبنتر لاڬي 	 Aku akan dapat mengejarnya sebentar lagi
 اڠكاو اكن اكو بونوه سرتا-مرتا 	 Engkau akan aku bunuh serta-merta
 اديواج ترجليڤوق دأتس لوبڠ ايت 	 Adiwaja terjelepok di atas lubang itu
 اين ممبواتكن جاڬت سوچي ترسنتق 	 Ini membuatkan Jagat Suci tersentak
 اڠكاو دكليليڠي ليما ايكور جين 	 Engkau dikelilingi lima ekor jin
 اد ريساو برڤوتيق دهاتي نيرنام 	 Ada risau berputik di hati Nirnama
 تتاڤي كالين تاهو حال ايت سيا٢ 	 Tetapi kalian tahu hal itu sia-sia
 اكو اكن سنتياس برساممو نيرنام 	 Aku akan sentiasa bersamamu Nirnama
 اكو هاڽ منصيحتي ديريكو سنديري 	 Aku hanya menasihati diriku sendiri
 ڤوتري سنتوبوڠ ممندڠ كأره جنين 	 Puteri Santubong memandang ke arah Jenin
 سكالي لاڬي  ڤندڠن مريک برتاوت 	 Sekali lagi pandangan mereka bertaut
 بنركه جنين منچله جلس كريساوان 	 Benarkah Jenin mencelah jelas kerisauan
 تمبه ڤولا بربيچارا لڠسوڠ دڠنڽ 	 Tambah pula berbicara langsung dengannya
 بهكن موڠكين كسلوروهن نوسنتارا 	 Bahkan mungkin keseluruhan Nusantara
 نامون اديواج ماسيه ممڤو مڠيلق 	 Namun Adiwaja masih mampu mengelak
 جاڬت سوچي تربلالق مليهت دارهڽ 	 Jagat Suci terbelalak melihat darahnya
 كماتين ڬورو كيت تيدق اكن سيا٢ 	 Kematian guru kita tidak akan sia-sia
 ريساو ڤركارا بوروق اكن برلاكو 	 Risau perkara buruk akan berlaku
 دمکين كباڽقن رعيت سكبون سرنده 	 Demikian kebanyakan rakyat Sekebun Serendah
 تروس مريک بردوا ساليڠ برداكڤن 	 Terus mereka berdua saling berdakapan
 لاما ڤندڠن مريک بردوا برتاءوت 	 Lama pandangan mereka berdua bertaut
 ڤندڠنڽ تاجم منيكم واجه چندانا 	 Pandangannya tajam menikam wajah Cendana
 اكو تيدق بوليه منوكر جنتيناكو 	 Aku tidak boleh menukar jantinaku
 ستياڤ رعيت اكن دبريكن حق مريک 	 Setiap rakyat akan diberikan hak mereka
 امڤون توانكو بريبو-ريبو امڤون 	 Ampun tuanku beribu-ribu ampun
 نديم دان نيرنام ساليڠ برڤندڠن 	 Nadim dan Nirnama saling berpandangan
 للاكي ايت تروس كتاوا سنڠ هاتي 	 Lelaki itu terus ketawa senang hati
 ڤق كادوق برڤاكاين  سربا ڤوتيه 	 Pak Kaduk berpakaian serba putih
 استري ڤق كادوق جوݢ هندل مماسق 	 Isteri Pak Kaduk juga handal memasak
 هاڽ راج يڠ اكن دلاءين سدميكين 	 Hanya raja yang akan dilayan sedemikian
 هاه برتوكر ايم دڠن توانكو  يا 	 Hah Bertukar ayam dengan tuanku  Ya
 سكيتر مات ايم ايت ڤوتيه مليڤق 	 Sekitar mata ayam itu putih melepak
 سي ڤوتيه مات تيدق برڤوتوس اسا 	 Si Putih Mata tidak berputus asa
 بوكيت ايت دڤنوهي بلنتارا كچيل 	 Bukit itu dipenuhi belantara kecil
 راج اوڠ مها ڤريتا دريا تركجوت 	 Raja Ong Maha Perita Deria terkejut
 نامون دي تيدق موده هيلڠ ڤونچا 	 Namun dia tidak mudah hilang punca
 ڤندڠنڽ هاڽ ترتومڤو كڤد نيرنام 	 Pandangannya hanya tertumpu kepada Nirnama
 كستوري دان جنين تراڠڬوق-اڠڬوق 	 Kasturi dan Jenin terangguk-angguk
 ممنوهي تڠݢوڠجواب سباڬاي خليفه 	 Memenuhi tanggungjawab sebagai khalifah
 نيرنام سڤرتي تادي برجاي مڠيلق 	 Nirnama seperti tadi berjaya mengelak
 ڤركارڠن ايستان ايت كمبالي سڤي 	 Perkarangan istana itu kembali sepi
 كالين سواجرڽ ممڤوس سهاج دسيني 	 Kalian sewajarnya mampus sahaja di sini
 سبهاڬينڽ ممباساهي واجه چندانا 	 Sebahagiannya membasahi wajah Cendana
 باڤكو تربونوه ددالم ڤڤرڠن ايت 	 Bapaku terbunuh di dalam peperangan itu
 دي مڠڠكت سمبه حرمت سكالي لاڬي 	 Dia mengangkat sembah hormat sekali lagi
 اه سوده سمستيڽ ممندا بنداهارا 	 Ah sudah semestinya mamanda bendahara
 كمودين اڠين بردرو ترلالو قوات 	 Kemudian angin berderu terlalu kuat
 اوڠڬون اڤي دهادڤن مريک ترڤادم 	 Unggun api di hadapan mereka terpadam
 هيه اڠكاو سوده مڠوروسكن سلطان 	 Heh engkau sudah menguruskan sultan
 بيبير نيرنام ككل تركومت-كاميت 	 Bibir Nirnama kekal terkumat-kamit
 مريک تيدق بريحت لبيه درڤد ايت 	 Mereka tidak berehat lebih daripada itu
 جاڠن اد يڠ بربوال اڤ٢ يڠ سيا٢ 	 Jangan ada yang berbual apa-apa yang sia-sia
 دي تاهو اڤ يڠ ڤرلو كيت لاكوكن 	 Dia tahu apa yang perlu kita lakukan
 تاڠنڽ منچاڤاي كڤالا علاءالدين 	 Tangannya mencapai kepala Alauddin
 دي سماكين ڬالق مڠڬوناكن سيحير 	 Dia semakin galak menggunakan sihir
 نجوم سوريا مولا دكليليڠي مريک 	 Nujum Surya mula dikelilingi mereka
 بولو روما سڠ كلمباي منڬق لاڬي 	 Bulu roma Sang Kelembai menegak lagi
 ڤرڬيله اڠكاو كڤد انقندامو ايت 	 Pergilah engkau kepada anakandamu itu
 نيرنام برڬرق كهادڤن علاءالدين 	 Nirnama bergerak ke hadapan Alauddin
 نية يڠ مورني جاڬت سوچي ترڤمڤن 	 Niat yang murni Jagat Suci terpempan
 موجور سڠ كلمباي ڤانتس مڽينديڠ 	 Mujur Sang Kelembai pantas menyendeng
 كجادين ايت برلاكو براولڠ كالي 	 Kejadian itu berlaku berulang kali
 چندانا ڤولا ترلوتوت سبله كاكي 	 Cendana pula terlutut sebelah kaki
 جاڠن سليسا دڠن ڤركمبڠن تربارو 	 Jangan selesa dengan perkembangan terbaru
 توبوه ڤارا تنترا دسيتو بركچاي 	 Tubuh para tentera di situ berkecai
 كلام ايت تيدق داڤت دسمڤورناكن 	 Kalam itu tidak dapat disempurnakan
 سبهاڬين بسر ڤه جاڬت سوچي رابق 	 Sebahagian besar peha Jagat Suci rabak
 سڬالا ڤوجي دان ڤوجا باڬي الله 	 Segala puji dan puja bagi Allah
 سيلاكن توانكو راتو سيتي بانون 	 Silakan Tuanku Ratu Siti Banun
 كيني ادينداڽ هيدوڤ سأورڠ ديري 	 Kini adindanya hidup seorang diri
 تون نيرمالا منونجوق كساتو اره 	 Tun Nirmala menunjuk ke satu arah
 جنين توروت ملاكوكن حال يڠ سام 	 Jenin turut melakukan hal yang sama
 امڤون توانكو بريبو-ريبو امڤون 	 Ampun tuanku beribu-ribu ampun
 بيارله سماڠت ايت اونتوق إسلام 	 Biarlah semangat itu untuk Islam
 سموا برڤاكاين  اينده دان سوڤن 	 Semua berpakaian indah dan sopan
 چندانا جوݢ ملاكوكن حال يڠ سام 	 Cendana juga melakukan hal yang sama
 كتيݢ-تيݢڽ برسوارا همڤير سرنتق 	 Ketiga-tiganya bersuara hampir serentak
 ڤركامڤوڠن كيت ڤولا منجادي مڠسا 	 Perkampungan kita pula menjadi mangsa
 هاڽ دروان اڠين يڠ ترباوا كبومي 	 Hanya deruan angin yang terbawa ke bumi
 هولوبالڠ-هولوبالڠڽ توروت ترڤان 	 Hulubalang-hulubalangnya turut terpana
 كيت ڤرهاتيكن اڤ يڠ باكل برلاكو 	 Kita perhatikan apa yang bakal berlaku
 جک تيدق انته ملايڠ سوده ڽاواكو 	 Jika tidak entah melayang sudah nyawaku
 تربوقتي اڠكاو سأورڠ يڠ بيجقسان 	 Terbukti engkau seorang yang bijaksana
 اڠكاو سبنرڽ لاڬي بيجق درڤد اكو 	 Engkau sebenarnya lagi bijak daripada aku
 سڽومن ماسيه تيدق لكڠ دري بيبير 	 Senyuman masih tidak lekang dari bibir
 بيار ڤچه دڤروت جاڠن ڤچه دمولوت 	 Biar pecah di perut jangan pecah di mulut
 منوليه ككيري دان كانن كريساوان 	 Menoleh ke kiri dan kanan kerisauan
 بانڠ باڬاي داڤت مروڠكاي ميستري 	 Banang bagai dapat merungkai misteri
 مريک ساليڠ برڤندڠن دالم وسڤادا 	 Mereka saling berpandangan dalam waspada
 رياق واجه ماسيڠ٢ ڤنوه تندا تاڽ 	 Riak wajah masing-masing penuh tanda tanya
 ايوه لمبݢ ايت تروس مڽمبوڠ سرڠن 	 Ayuh Lembaga itu terus menyambung serangan
 تاڠن نيرنام ڤرلاهن-لاهن برالون 	 Tangan Nirnama perlahan-lahan beralun
 ڤندڠن ردوڤ نيرنام ممرهاتي لاون 	 Pandangan redup Nirnama memerhati lawan
 ترسنتق نديم دڠن ڤنولاقن نيرنام 	 Tersentak Nadim dengan penolakan Nirnama
 اكو سلامت  جبت كتاوا لبيه قوات 	 Aku selamat Jebat ketawa lebih kuat
 دكنلي سباڬاي اورڠ كاي بسر تڠڬڠ 	 Dikenali sebagai Orang Kaya Besar Tanggang
 مولوتڽ مانيس ڤنداي مڠمبيل هاتي 	 Mulutnya manis pandai mengambil hati
 اكو سوده ڽاتكن اكو تياد كسقتين 	 Aku sudah nyatakan aku tiada kesaktian
 ڤندڠنڽ جلس ملكت ڤد واجه نيرنام 	 Pandangannya jelas melekat pada wajah Nirnama
 چندانا ڤولا ماسيه برڤلوق توبوه 	 Cendana pula masih berpeluk tubuh
 ڤرستوجوانكو برشرط اورڠ كاي بسر 	 Persetujuanku bersyarat Orang Kaya Besar
 كقواتنكو تيدق لاڬي سڤرتي دهولو 	 Kekuatanku tidak lagi seperti dahulu
 رياق واجه راكنڽ ايت جلس ڬمبيرا 	 Riak wajah rakannya itu jelas gembira
 ڤلواڠ يڠ سام تربنتڠ دهادڤن كيت 	 Peluang yang sama terbentang di hadapan kita
 واجه اڠكاو راجونا ممبولتكن مات 	 Wajah engkau Rajuna membulatkan mata
 دلوار عباده نيرنام سقدر ممباتو 	 Di luar ibadah Nirnama sekadar membatu
 چندانا مندڠوس سمبيل ترسڽوم بڠݢ 	 Cendana mendengus sambil tersenyum bangga
 سلوروه تولڠ چندانا باڬاي برڬڬر 	 Seluruh tulang Cendana bagai bergegar
 نامون چندانا تيدق چڤت ماتي عقل 	 Namun Cendana tidak cepat mati akal
 سلوروه ديوان سڽڤ تيدق بربيچارا 	 Seluruh dewan senyap tidak berbicara
 دي ترلنتڠ بڬيتو سهاج دأتس ڤنتس 	 Dia terlentang begitu sahaja di atas pentas
 نيرنام ميمڠ تيدق ڤنداي برڬاءول 	 Nirnama memang tidak pandai bergaul
 اكو سميمڠڽ ماهو ككراجاءن سراوا 	 Aku sememangnya mahu ke Kerajaan Serawa
 ڤوتري سجينجڠ دان ڤوتري سنتوبوڠ 	 Puteri Sejinjang dan Puteri Santubong
 اين حاصيل برڬادڠ دان كرجا كراس 	 Ini hasil bergadang dan kerja keras
 تاوا اورڠ كاي بسر ترسبوت سوروت 	 Tawa Orang Kaya Besar tersebut surut
 اكو فيكير اكو ماهو مڠوبه هلوان 	 Aku fikir aku mahu mengubah haluan
 كمبراكو تيدق سسواي برتمن راماي 	 Kembaraku tidak sesuai berteman ramai
 سوده ترلالو لاما كيت ترڤيسه نق 	 Sudah terlalu lama kita terpisah nak
 تتاڤي تيدق دهيراوكن اوليه مريک 	 Tetapi tidak dihiraukan oleh mereka
 جلس دي تركجوت دڠن اڤ يڠ دليهتڽ 	 Jelas dia terkejut dengan apa yang dilihatnya
 جاڠن اڠكاو مناڠيس سدميكين بودق 	 Jangan engkau menangis sedemikian budak
 داره دهيروڤ ماءنسي روڤاون تادي 	 Darah dihirup manusia rupawan tadi
 دي مڠڠكت موک مناتڤ واجه چندانا 	 Dia mengangkat muka menatap wajah Cendana
 كرجاڽ جوݢ لمبت كران قوات براڠن 	 Kerjanya juga lambat kerana kuat berangan
 اد يڠ سمڤاي منڤوق لوتوت سنديري 	 Ada yang sampai menepuk lutut sendiri
 تتاڤي كيت ممڤو نديم ممتيق جاري 	 Tetapi kita mampu Nadim memetik jari
 بوليه جادي اكن ترچتوس ڤرتاروڠن 	 Boleh jadi akan tercetus pertarungan
 كيت سوده مماسوقي ڤركامڤوڠن اين 	 Kita sudah memasuki perkampungan ini
 دسكليليڠ مريک ترداڤت باڽق رومه 	 Di sekeliling mereka terdapat banyak rumah
 ڤندودوق اكن ممبوک جالن اونتوقڽ 	 Penduduk akan membuka jalan untuknya
 نيرنام نديم دان چندانا مندوڠاق 	 Nirnama Nadim dan Cendana mendongak
 جلس مڠاكوءي كتمڤنن ڤوترا سراڤي 	 Jelas mengakui ketampanan Putera Serapi
 تروس واجهڽ برتوكر منجادي ڬليسه 	 Terus wajahnya bertukar menjadi gelisah
 واجه ڤوترا سراڤي باڬايكن برڬڬر 	 Wajah Putera Serapi bagaikan bergegar
 كران ايت مريک مڽرڠ ڤوترا سراڤي 	 Kerana itu mereka menyerang Putera Serapi
 اكو اد مليهت سسواتو سبنتر تادي 	 Aku ada melihat sesuatu sebentar tadi
 جاڬت سوچي لساڤ درڤد ڤندڠن سموا 	 Jagat Suci lesap daripada pandangan semua
 اڠكاو ڤرلو بربوات سسواتو جالاق 	 Engkau perlu berbuat sesuatu Jalak
 كاتڽ ماهو مليهت-ليهت تمڤت اورڠ 	 Katanya mahu melihat-lihat tempat orang
 نيرنام هاڽ ملڤسكن ڤندڠن كهلامن 	 Nirnama hanya melepaskan pandangan ke halaman
 دي تيدق تيدور سلاما توجوه هاري 	 Dia tidak tidur selama tujuh hari
 ڤرلاهن-لاهن دي مڠهيلا نفس ڤنجڠ 	 Perlahan-lahan dia menghela nafas panjang
 منتن ڤمرينته كراجاءن٢ نوسنتارا 	 Mantan pemerintah Kerajaan-Kerajaan Nusantara
 مالڠ ترتيڤو دڠن روڤا دان چينتا 	 Malang tertipu dengan rupa dan cinta
 جادي ڤوتري سنتوبوڠ بركروت داهي 	 Jadi Puteri Santubong berkerut dahi
 نيرنام سڽوم سڬاريس دان مڠڬيليڠ 	 Nirnama senyum segaris dan menggeleng
 تورونله ساتو سوارا كدڠرن سايوڤ 	 Turunlah Satu suara kedengaran sayup
 ڤڠعمل سيلت تنڤا نام  دي مڠڠڬوق 	 Pengamal Silat Tanpa Nama  Dia mengangguk
 هاڽ لاڤن اورڠ يڠ منچابر چندانا 	 Hanya lapan orang yang mencabar Cendana
 سموا يڠ براد دلاڤڠن ايت ترڬامم 	 Semua yang berada di lapangan itu tergamam
 كمودين دي مڠهڽق ڤوڠڬوڠ تردودوق 	 Kemudian dia menghenyak punggung terduduk
 تتاڤي ڤوتري سنتوبوڠ تيدق تركسن 	 Tetapi Puteri Santubong tidak terkesan
 ڬاري دتاڠن چندانا درڠكوهڽ موده 	 Gari di tangan Cendana direngkuhnya mudah
 ڤانتس دي مڠڠڬوق دان مڠڠكت سمبه 	 Pantas dia mengangguk dan mengangkat sembah
 دري واجه كدادا دي دباسهي كريڠت 	 Dari wajah ke dada dia dibasahi keringat
 اكو مڠوبوركن 523 اورڠ كامڤوڠكو 	 Aku menguburkan 523 orang kampungku
 ڬوروڽ ايت مولا مڠهيلا نفس ڤنجڠ 	 Gurunya itu mula menghela nafas panjang
 اكو برهارڤ نديم دان جنين سلامت 	 Aku berharap Nadim dan Jenin selamat
 ساڠت جارڠ نيرنام بربيچارا ڤنجڠ 	 Sangat jarang Nirnama berbicara panjang
 تيبا٢ نيرنام مندڤڠكن سبله تاڠن 	 Tiba-tiba Nirnama mendepangkan sebelah tangan
 چلاک دي ممندڠ تاجم كأره نيرنام 	 Celaka Dia memandang tajam ke arah Nirnama
 نيرنام مڽربو  ماتڽ ترڤيست-ڤيست 	 Nirnama menyerbu   Matanya terpisat-pisat
 تمبهن اڠكاو هاڽله سأورڠ ماءنسي 	 Tambahan engkau hanyalah seorang manusia
 سمبارن ڤتير كلوار مڽيلاوكن مات 	 Sambaran petir keluar menyilaukan mata
 چلاک ڬليݢ جوݢ اوتق جالق بنتالا 	 Celaka geliga juga otak Jalak Bentala
 تاڠن كيريڽ ملڤسكن ڤوتري سجينجڠ 	 Tangan kirinya melepaskan Puteri Sejinjang
 نيرنام ملايركن ڤندڠن كأره جنين 	 Nirnama melayarkan pandangan ke arah Jenin
 تريما كاسيه كران ممهمي اشارتكو 	 Terima kasih kerana memahami isyaratku
 لاڠيت چره برهياس ڬيموان٢ ڤوتيه 	 Langit cerah berhias gemawan-gemawan putih
 سمواڽ دنعمتي دڠن ڤنوه راس شكور 	 Semuanya dinikmati dengan penuh rasa syukur
 هاه اڠكاو سوده ڤنداي برسندا يا 	 Hah engkau sudah pandai bersenda ya
 ڤرلاهن-لاهن سريكندي ايت مڠڠڬوق 	 Perlahan-lahan srikandi itu mengangguk
 خبر يڠ سام تله سمڤاي كڤدكو جوݢ 	 Khabar yang sama telah sampai kepadaku juga
 تمبهن اكو ميمڠ سوده ترلالو توا 	 Tambahan aku memang sudah terlalu tua
 دي ڤولا سريڠ ممبرونتق ترهادڤكو 	 Dia pula sering memberontak terhadapku
 بونداڽ تله تياد سمنجق دي لاهير 	 Bondanya telah tiada semenjak dia lahir
 جک دمكين تيته توانكو اكن ڤاتيق 	 Jika demikian titah tuanku akan patik
 اديواج منوندوقكن سديكيت كڤالاڽ 	 Adiwaja menundukkan sedikit kepalanya
 توانكو سنتياس دألو-الوكن دسيني 	 Tuanku sentiasa dialu-alukan di sini
 جبت تروجا سهيڠݢ مڠڤلكن ڤنومبوق 	 Jebat teruja sehingga mengepalkan penumbuk
 تاڠنڽ ممنجڠ مڽنتوه باهو اديواج 	 Tangannya memanjang menyentuh bahu Adiwaja
 نفس سلطان منصور كمبالي براومبق 	 Nafas Sultan Mansur kembali berombak
 چندانا دان نديم هاڽ ممڤو ترچڠڠ 	 Cendana dan Nadim hanya mampu tercengang
 هيلڠ چريا يڠ ترڤامير اول٢ تادي 	 Hilang ceria yang terpamer awal-awal tadi
 كمبالي كڤد نيرنام جبت دان توها 	 Kembali kepada Nirnama Jebat dan Tuha
 چندانا ترتاوا كچيل دان مڠڬيليڠ 	 Cendana tertawa kecil dan menggeleng
 اين چيق چندانا دري تيمور لاءوت 	 Ini Cik Cendana dari timur laut
 يا جبت سوده دوا هاري تيدق ڤولڠ 	 Ya Jebat sudah dua hari tidak pulang
 همبا معلوم اكن حسرت توان ڤوتري 	 Hamba maklum akan hasrat tuan puteri
 تاڠن كانن تله دلتقكن داتس كريس 	 Tangan kanan telah diletakkan di atas keris
 سموا اين موڠكين بركاءيت توانكو 	 Semua ini mungkin berkait tuanku
 ككندا توها اڠكاو ساڠت مڠچيواكن 	 Kakanda Tuha engkau sangat mengecewakan
 يا بنر اكو سوک سوڠڬوه قيصه ايت 	 Ya benar aku suka sungguh kisah itu
 دي سنديري سدڠ برڬابوڠ دڠن عالم 	 Dia sendiri sedang bergabung dengan alam
 اڠكاو تله مماهيري سني سيلت اين 	 Engkau telah memahiri seni silat ini
 سقسيكن كأداءن تانه سمننجوڠ اين 	 Saksikan keadaan Tanah Semenanjung ini
 براوسهاله سهيڠݢ باتس كممڤوانمو 	 Berusahalah sehingga batas kemampuanmu
 چندانا تله دتيڠڬلكن تنڤا جواڤن 	 Cendana telah ditinggalkan tanpa jawapan
 دي تله بياسا بركلان سأورڠ ديري 	 Dia telah biasa berkelana seorang diri
 برسنديرين ڤوڽا كلبيهن ترسنديري 	 Bersendirian punya kelebihan tersendiri
 اڤاكه اين سيحير دي بركروت داهي 	 Apakah ini sihir Dia berkerut dahi
 الله جواله ڤميليق سڬالا كهيبتن 	 Allah jualah pemilik segala kehebatan
 اكو تيدق سڠک سهيڠݢ بڬيتو سكالي 	 Aku tidak sangka sehingga begitu sekali
 ترظاهير سبيله كريس برلوق توجوه 	 Terzahir sebilah keris berlok tujuh
 تيبا٢ علاءالدين مماليڠكن توبوه 	 Tiba-tiba Alauddin memalingkan tubuh
 اتاو سكورڠ-كورڠڽ توها اتاو جبت 	 Atau sekurang-kurangnya Tuha atau Jebat
 اكو ماهو منجادي همباڽ يڠ سجاتي 	 Aku mahu menjadi hamba-Nya yang sejati
 نامون دي تيدق برڬرق ككل برتلكو 	 Namun dia tidak bergerak kekal berteleku
 الله اياله اداله توهان يڠ سبنر 	 Allah ialah adalah Tuhan yang sebenar
 بيبير نيرنام تروس تركومت-كاميت 	 Bibir Nirnama terus terkumat-kamit
 هاڽ كڤد اڠكاو اكو برڬنتوڠ هارڤ 	 Hanya kepada Engkau aku bergantung harap
 دي بڠكيت سمبيل مڠهيلا نفس ڤنجڠ 	 Dia bangkit sambil menghela nafas panjang
 توانكو تيدق بوليه برسيكڤ بڬيني 	 Tuanku tidak boleh bersikap begini
 تاميڠ ساري درودوقڽ سڤانتس كيلت 	 Taming Sari dirodoknya sepantas kilat
 سڤاروه سلوارڽ سوده برورنا ميره 	 Separuh seluarnya sudah berwarna merah
 اكو تيدق بوليه تريما حقيقة اين 	 Aku tidak boleh terima hakikat ini
 اكو تله ممرينته همڤير دوا ديكد 	 Aku telah memerintah hampir dua dekad
 اكن تتاڤي تياد أخيرة تنڤا دنيا 	 Akan tetapi tiada akhirat tanpa dunia
 تتاڤي كمودين لڠكهن مريک ترهنتي 	 Tetapi kemudian langkahan mereka terhenti
 هوجن داره سماكين ممباساهي بومي 	 Hujan darah semakin membasahi bumi
 سبله تاڠن لاڬي كمودين دهولوركن 	 Sebelah tangan lagi kemudian dihulurkan
 هاري اين اكو جاءوه لبيه بركواس 	 Hari ini aku jauh lebih berkuasa
 واهاي ڤارا ڤجواڠ يڠ ستيا دڠنكو 	 Wahai para pejuang yang setia denganku
 ترماسوق اديواج دان سلطان محمود 	 Termasuk Adiwaja dan Sultan Mahmud
 هاري اين هاري اكو مناءيقي تختا 	 Hari ini hari aku menaiki takhta
 دي كمودين مراساكن باهوڽ دسنتوه 	 Dia kemudian merasakan bahunya disentuh
 اكو اكن كمبالي كڤد توانكو جاڬت 	 Aku akan kembali kepada Tuanku Jagat
 ڤندڠن علاءالدين دتيبر كسكليليڠ 	 Pandangan Alauddin ditebar ke sekeliling
 سكارڠ موسوه سدڠ مڠڬڬركن سمڤادن 	 Sekarang musuh sedang menggegarkan sempadan
 تيرياكن ايت ممبواتكن دي منوليه 	 Teriakan itu membuatkan dia menoleh
 دڠن ايت جوݢ اڠكاو اكن دتومبڠكن 	 Dengan itu juga engkau akan ditumbangkan
 بيبير نيرنام مولا تركومت-كاميت 	 Bibir Nirnama mula terkumat-kamit
 تيدق داڤت منافيكن حقيقة ترسبوت 	 Tidak dapat menafikan hakikat tersebut
 نيرنام چوبا مڽه بيسيقن٢ ترسبوت 	 Nirnama cuba menyah bisikan-bisikan tersebut
 اديواج منالاكن ڤندڠن كساتو اره 	 Adiwaja menalakan pandangan ke satu arah
 مريک بردوا ڤرلاهن-لاهن برانسور 	 Mereka berdua perlahan-lahan beransur
 جاڬت سوچي مڠجر مريک هيڠݢ كماري 	 Jagat Suci mengejar mereka hingga ke mari
 بوكنڽ برتروسن ماهو مڠاول سڬالا 	 Bukannya berterusan mahu mengawal segala
