Dia ternganga. 	 دي ترڠاڠا.
Kebanyakannya lelaki. 	 كباڽقنڽ للاكي.
Woi, Jenin. 	 ووي، جنين.
Engkau berangan apa lagi lama-lama di atas pokok kelapa!   Jangan bermimpilah mahu beristerikan Puteri Santubong!  Engkau fikir lama-lama di atas pokok kelapa itu, engkau boleh terbang ke istana tuan puteri?  Lelaki-lelaki itu ketawa beramai-ramai. 	 اڠكاو براڠن اڤ لاڬي لاما٢ دأتس ڤوكوق كلاڤ!  جاڠن برميمڤيله ماهو برإيستريكن ڤوتري سنتوبوڠ!  اڠكاو فيكير لاما٢ دأتس ڤوكوق كلاڤ ايت، اڠكاو بوليه تربڠ كأيستان توان ڤوتري؟  للاكي٢ ايت كتاوا براماي-راماي.
Nirnama memerhatikan kumpulan lelaki itu sebelum mendongak. 	 نيرنام ممرهاتيكن كومڤولن للاكي ايت سبلوم مندوڠاق.
Pada salah satu pokok kelapa tersebut, seorang pemuda sedang berpaut. 	 ڤد ساله ساتو ڤوكوق كلاڤ ترسبوت، سأورڠ ڤمودا سدڠ برڤاءوت.
Dia tidak mengait buah kelapa tetapi bagaikan termenung sambil memerhati ke arah Gunung Santubong. 	 دي تيدق مڠاءيت بواه كلاڤ تتاڤي باڬايكن ترمنوڠ سمبيل ممرهاتي كأره ڬونوڠ سنتوبوڠ.
Lebih tepat, ke arah Istana Santubong yang terletak di lereng bukit menghadap pesisiran pantai ini. 	 لبيه تڤت، كأره ايستان سنتوبوڠ يڠ ترلتق دليريڠ بوكيت مڠهادڤ ڤسيسيرن ڤنتاي اين.
Dia memang begitu. 	 دي ميمڠ بڬيتو.
Sering berlama-lama di atas pokok. 	 سريڠ برلاما-لاما دأتس ڤوكوق.
Hanya sekali-sekala memanggil pelanggan. 	 هاڽ سكالي-سكالا ممڠڬيل ڤلڠڬن.
Kerjanya juga lambat kerana kuat berangan. 	 كرجاڽ جوݢ لمبت كران قوات براڠن.
Suara gadis di gerai itu menarik Nadim dan Cendana untuk memerhatinya. 	 سوارا ڬاديس دڬراي ايت مناريق نديم دان چندانا اونتوق ممرهاتيڽ.
Aku kakandanya. 	 اكو ككنداڽ.
Jelita. 	 جليتا.
Dia adindaku, Jenin. 	 دي ادينداكو، جنين.
Jelita tersenyum manis sambil mencaras bahagian atas buah kelapa muda. 	 جليتا ترسڽوم مانيس سمبيل منچارس بهاڬين اتس بواه كلاڤ مودا.
Beberapa orang yang baru tiba dan perlu dilayannya. 	 ببراڤ اورڠ يڠ بارو تيبا دان ڤرلو دلاينڽ.
Kau berangan apa hari ini, Jenin oi!  Mahu hilangkan Putera Serapi dari Kerajaan Serawa ini!  Engkau tak sertai Sayembara 100 Pendekar? Bolehlah engkau bertemu Puteri Santubong!  Atau engkau sedar engkau tidak layak?!  Kumpulan manusia itu berdekah-dekah ketawa sesama mereka. 	 كاو براڠن اڤ هاري اين، جنين اوي!  ماهو هيلڠكن ڤوترا سراڤي دري كراجاءن سراوا اين! اڠكاو تق سرتاي سايمبارا 100 ڤنديكر؟ بوليهله اڠكاو برتمو ڤوتري سنتوبوڠ!  اتاو اڠكاو سدر اڠكاو تيدق لايق؟!  كومڤولن ماءنسي ايت بردكه-دكه كتاوا سسام مريک.
Mereka pengunjung tetap kami. 	 مريک ڤڠونجوڠ تتڤ كامي.
Jadi, janganlah terasa hati dengan sikap mereka. 	 جادي، جاڠنله تراس هاتي دڠن سيكڤ مريک.
Suka menyakat Jenin, tapi mereka sering membantu perniagaan kami. 	 سوک مڽاكت جنين، تاڤي مريک سريڠ ممبنتو ڤرنياڬاءن كامي.
Mereka nelayan di pesisir pantai ini dan penduduk kampung berhampiran. 	 مريک نلاين دڤسيسير ڤنتاي اين دان ڤندودوق كامڤوڠ برهمڤيرن.
Jelita mencelah. 	 جليتا منچله.
Nadim terangguk-angguk. 	 نديم تراڠڬوق-اڠڬوق.
Nirnama masih memerhatikan Jenin di atas pokok kelapa. 	 نيرنام ماسيه ممرهاتيكن جنين دأتس ڤوكوق كلاڤ.
Oi, Mat, turunlah. 	 اوي، مت، تورونله.
Kami nak dengar angan-angan kau. 	 كامي نق دڠر اڠن٢ كاو.
Salah seorang lelaki dari meja berhampiran menjerit. 	 ساله سأورڠ للاكي دري ميجا برهمڤيرن منجريت.
Oh, baik! Jenin mengait beberapa biji kelapa muda sebelum dia memacakkan satu alat seperti sabit, dan turun menggunakan tali panjang di belakang sabit tersebut. 	 اوه، باءيق! جنين مڠاءيت ببراڤ بيجي كلاڤ مودا سبلوم دي مماچقكن ساتو الت سڤرتي سابيت، دان تورون مڠڬوناكن تالي ڤنجڠ دبلاكڠ سابيت ترسبوت.
Wah, menarik alat itu. 	 واه، مناريق الت ايت.
Cendana teruja. 	 چندانا تروجا.
Rekaannya sendiri. 	 ريكاءنڽ سنديري.
Hasil angan-angannya dahulu. 	 حاصيل اڠن٢ دهولو.
Tapi yang ini dia benar-benar usahakan. 	 تاڤي يڠ اين دي بنر٢ اوسهاكن.
Jelita menambah. 	 جليتا منمبه.
Jenin menyertai kumpulan nelayan di meja berhampiran. 	 جنين مڽرتاءي كومڤولن نلاين دميجا برهمڤيرن.
Punca masalah sebenar adalah Putera Serapi. 	 ڤونچا مسئله سبنر اداله ڤوترا سراڤي.
Kehadirannya membakar api perseteruan antara dua puteri. 	 كحاضيرنڽ ممباكر اڤي ڤرستروان انتارا دوا ڤوتري.
Sekiranya Putera Serapi pergi, masalah di Kerajaan Serawa akan berpapasan!   Jenin adalah seorang lelaki yang sedikit lebih tinggi berbanding Nirnama. 	 سكيراڽ ڤوترا سراڤي ڤرڬي، مسئله دكراجاءن سراوا اكن برڤاڤسن!  جنين اداله سأورڠ للاكي يڠ سديكيت لبيه تيڠڬي بربنديڠ نيرنام.
Kepalanya ditutup Tengkolok Kelepai. 	 كڤالاڽ دتوتوڤ تڠكولوق كلڤاي.
Wajahnya sedikit tidak terurus, dengan jambang dan janggut yang tidak dijaga kemas. 	 واجهڽ سديكيت تيدق تراوروس، دڠن جمبڠ دان جڠڬوت يڠ تيدق دجاݢ كمس.
Pakaiannya juga lusuh, kotor, dan bertampal-tampal. 	 ڤاكاينڽ جوݢ لوسوه، كوتور، دان برتمڤل-تمڤل.
Nirnama khusyuk memasang telinga. 	 نيرنام خشوع مماسڠ تليڠا.
Hanya sekali-sekala menghirup air kelapa muda di tangan. 	 هاڽ سكالي-سكالا مڠهيروڤ اءير كلاڤ مودا دتاڠن.
Sementara Nadim dan Cendana sudah menikmati kelapa muda yang kedua. 	 سمنتارا نديم دان چندانا سوده منعمتي كلاڤ مودا يڠ كدوا.
Bagaimana engkau mahu membuatkan Putera Serapi pergi? Dia kesayangan masyarakat. 	 باڬايمان اڠكاو ماهو ممبواتكن ڤوترا سراڤي ڤرڬي؟ دي كسايڠن مشاركت.
Benar, Jenin. 	 بنر، جنين.
Apa yang engkau dengki sangat dengan Putera Serapi?  Dia sebenarnya orang jahat. 	 اڤ يڠ اڠكاو دڠكي ساڠت دڠن ڤوترا سراڤي؟  دي سبنرڽ اورڠ جاهت.
Dialah penyebab porak-peranda yang berlaku! Mata Jenin membulat dengan keterujaan. 	 دياله ڤڽباب ڤورق-ڤرندا يڠ برلاكو! مات جنين ممبولت دڠن كتروجاءن.
Kita perlu mencari jalan untuk meyakinkan tuanku puteri berdua bahawa mereka telah ditipu. 	 كيت ڤرلو منچاري جالن اونتوق ميقينكن توانكو ڤوتري بردوا بهاوا مريک تله دتيڤو.
Porak-peranda Kerajaan Serawa hanya menguntungkan Jagat Suci!  Semua yang semeja dengan Jenin ketawa terbahak-bahak. 	 ڤورق-ڤرندا كراجاءن سراوا هاڽ مڠونتوڠكن جاڬت سوچي!  سموا يڠ سميجا دڠن جنين كتاوا ترباهق-باهق.
Ada yang sampai menepuk lutut sendiri. 	 اد يڠ سمڤاي منڤوق لوتوت سنديري.
Engkau terlalu kuat berangan. 	 اڠكاو ترلالو قوات براڠن.
Putera Serapi putera kayangan. 	 ڤوترا سراڤي ڤوترا كايڠن.
Anugerah dari langit. 	 انوڬره دري لاڠيت.
Baik dengan masyarakat. 	 باءيق دڠن مشاركت.
Semua yang tinggal berhampiran istananya begitu sayang kepadanya. 	 سموا يڠ تيڠڬل برهمڤيرن ايستانڽ بڬيتو سايڠ كڤدڽ.
Benar, mengapa engkau menuduhnya yang bukan-bukan!  Engkau sebenarnya cemburu yang dua puteri berebut Putera Serapi!  Mereka ketawa lagi. 	 بنر، مڠاڤ اڠكاو منودوهڽ يڠ بوكن٢!  اڠكاو سبنرڽ چمبورو يڠ دوا ڤوتري بربوت ڤوترا سراڤي!  مريک كتاوا لاڬي.
Jika aku mampu bertarung, aku akan sertai Sayembara 100 Pendekar. 	 جک اكو ممڤو برتاروڠ، اكو اكن سرتاءي سايمبارا 100 ڤنديكر.
Dengan itu, aku akan dapat merapati Puteri Santubong. 	 دڠن ايت، اكو اكن داڤت مراڤتي ڤوتري سنتوبوڠ.
Akan aku sampaikan kepadanya pandangan aku! Jenin mengacung tangan. 	 اكن اكو سمڤايكن كڤدڽ ڤندڠن اكو! جنين مڠاچوڠ تاڠن.
Jelas, dia tidak menghiraukan sedikit pun tawa orang sekeliling. 	 جلس، دي تيدق مڠهيراوكن سديكيت ڤون تاوا اورڠ سكليليڠ.
Nelayan-nelayan itu tambah galak ketawa. 	 نلاين٢ ايت تمبه ڬالق كتاوا.
Ada yang menggeleng-geleng. 	 اد يڠ مڠڬيليڠ-ڬيليڠ.
Habis, kenapa engkau tak menyertainya?  Aku bukan pendekar!  Semua ketawa lagi. 	 هابيس، كناڤ اڠكاو تق مڽرتاءيڽ؟  اكو بوكن ڤنديكر!  سموا كتاوا لاڬي.
Jelita mengambil kelapa-kelapa yang dijatuhkan oleh Jenin sebentar tadi. 	 جليتا مڠمبيل كلاڤ٢ يڠ دجاتوهكن اوليه جنين سبنتر تادي.
Apabila melintasi meja tempat Nirnama, Nadim dan Cendana berada, dia mempamerkan riak wajah yang tidak senang sambil menghela nafas kasar. 	 اڤابيلا ملينتاسي ميجا تمڤت نيرنام، نديم دان چندانا براد، دي ممڤاميركن رياق واجه يڠ تيدق سنڠ سمبيل مڠهيلا نفس كاسر.
Itulah adindaku, asyik berangan saja. 	 ايتله ادينداكو، اشيق براڠن ساج.
Mujurlah kerja masih berjalan walau lambat dan banyak aku kena menampungnya. 	 موجورله كرجا ماسيه برجالن والاو لمبت دان باڽق اكو كنا منمڤوڠڽ.
Jelita tersenyum kelat. 	 جيليتا ترسڽوم كلات.
Cendana sekali-sekala tertawa dengan cerita Jenin. 	 چندانا سكالي-سكالا ترتاوا دڠن چريتا جنين.
Ada ketikanya dia menggeleng. 	 اد كتيكڽ دي مڠڬيليڠ.
Terlalu kuat berangan sehingga membayangkan yang bukan-bukan. 	 ترلالو قوات براڠن سهيڠݢ ممبايڠكن يڠ بوكن٢.
Tetapi memang benar, melalui pengamatan orang kampung sendiri pun, pergolakan bermula dengan kehadiran Putera Serapi. 	 تتاڤي ميمڠ بنر، ملالوءي ڤڠأمتن اورڠ كامڤوڠ سنديري ڤون، ڤرڬولقن برمولا دڠن كحاضيرن ڤوترا سراڤي.
Menjadi lebih parah setelah kematian Raja Dewata Mulya. 	 منجادي لبيه ڤاره ستله كماتين راج ديواتا موليا.
Dua puteri berseteru kerana merebutkan sang putera. 	 دوا ڤوتري برسترو كران مربوتكن سڠ ڤوترا.
Bicara Nadim membuatkan Cendana berhenti ketawa. 	 بيچارا نديم ممبواتكن چندانا برهنتي كتاوا.
Nirnama pula mengalihkan pandangan kepada Sang Kancil itu. 	 نيرنام ڤولا مڠاليهكن ڤندڠن كڤد سڠ كنچيل ايت.
Aku fikir, Jenin bukan berangan. 	 اكو فيكير، جنين بوكن براڠن.
Otaknya geliga, macam aku! Nadim menepuk dadanya. 	 اوتقڽ ڬليݢ، ماچم اكو! نديم منڤوق داداڽ.
Tinggal, dia suka cakap apa dalam kepalanya begitu saja. 	 تيڠڬل، دي سوک چاكڤ اڤ دالم كڤالاڽ بڬيتو ساج.
Nampak macam dia berangan-angan. 	 نمڤق ماچم دي براڠن-اڠن.
Kalau difikirkan baik-baik, kata-katanya itu benar. 	 كالاو دفيكيركن باءيق٢، كات-كاتڽ ايت بنر.
Aku kira, Jenin berpandangan jauh orangnya. 	 اكو كيرا، جنين برڤندڠن جاءوه اورڠڽ.
Cendana memandang Nirnama. 	 چندانا ممندڠ نيرنام.
Hah, Nirnama, engkau menjangka bahawa pergolakan di Kerajaan Serawa ini merupakan angkara Jagat Suci. 	 هاه، نيرنام، اڠكاو منجڠݢ بهاوا ڤرڬولقن دكراجاءن سراوا اين مروڤاكن اڠكارا جاڬت سوچي.
Benar?  Nirnama mengangguk sekali. 	 بنر؟  نيرنام مڠڠڬوق سكالي.
Bagaimana jika Putera Serapi yang muncul itu dihantar oleh Jagat Suci? Nadim mengangkat telunjuk, bagai baru dapat menghubungkan sesuatu. 	 باڬايمان جک ڤوترا سراڤي يڠ مونچول ايت دهنتر اوليه جاڬت سوچي؟ نديم مڠڠكت تلونجوق، باڬاي بارو داڤت مڠهوبوڠكن سسواتو.
Mata Cendana membulat. 	 مات چندانا ممبولت.
Manakala Nirnama mula memberikan lebih perhatian kepada kata-kata Nadim. 	 مانكالا نيرنام مولا ممبريكن لبيه ڤرهاتين كڤد كات٢ نديم.
Jika benar, bermakna Kerajaan Serawa berada dalam keadaan yang lebih berbahaya daripada jangkaan asal. 	 جک بنر، برمعنا كراجاءن سراوا براد دالم كأداءن يڠ لبيه بربهاي درڤد جڠكاءن اصل.
Nirnama bersuara. 	 نيرنام برسوارا.
Kita perlu menyiasat perkara ini. 	 كيت ڤرلو مڽياست ڤركارا اين.
Jika tidak, kemurkaan dua puteri akan beralih kepada kita jika kita mengangkat hal ini secara membuta tuli. 	 جک تيدق، كموركاءن دوا ڤوتري اكن برأليه كڤد كيت جک كيت مڠڠكت حال اين سچارا ممبوتا تولي.
Mereka sanggup berbunuhan sesama sendiri hanya kerana Putera Serapi. 	 مريک سڠڬوڤ بربونوهن سسام سنديري هاڽ كران ڤوترا سراڤي.
Apalah pula orang yang tidak dikenali menghina kecintaan mereka, pasti terus dihapuskan begitu sahaja! Cendana mengingatkan. 	 اڤله ڤولا اورڠ يڠ تيدق دكنلي مڠهينا كچينتاءن مريک، ڤستي تروس دهاڤوسكن بڬيتو سهاج! چندانا مڠيڠتكن.
Nirnama mengangguk. 	 نيرنام مڠڠڬوق.
Mungkin inilah juga petunjuk daripada Allah. 	 موڠكين اينله جوݢ ڤتونجوق درڤد الله.
Pandangannya melekat pada Jenin yang masih galak berceloteh, disulami tawa nelayan-nelayan yang mengelilingnya. 	 ڤندڠنڽ ملكت ڤد جنين يڠ ماسيه ڬالق برچلوتيه، دسولمي تاو نلاين٢ يڠ مڠليليڠڽ.
Tidak lama kemudian, Nirnama bangkit meninggalkan mejanya dan bergerak ke meja di mana Jenin berada. 	 تيدق لاما كمودين، نيرنام بڠكيت منيڠڬلكن ميجاڽ دان برڬرق كميجا دمان جنين براد.
Semua yang berada di meja tersebut, termasuk Jenin, terpinga-pinga dirapati Nirnama, orang asing bagi mereka. 	 سموا يڠ براد دميجا ترسبوت، ترماسوق جنين، ترڤيڠا-ڤيڠا دراڤتي نيرنام، اورڠ اسيڠ باڬي مريک.
Apa yang engkau mahu? Salah seorang nelayan bertanya. 	 اڤ يڠ اڠكاو ماهو؟ ساله سأورڠ نلاين برتاڽ.
Bolehkah aku duduk di sini? Nirnama menunjuk ruang kosong di celah-celah mereka. 	 بوليهكه اكو دودوق دسيني؟ نيرنام منونجوق رواڠ كوسوڠ دچله٢ مريک.
Kenapa?  Aku pengembara dari Tanah Semenanjung, berminat mendengar angan-angan Jenin. 	 كناڤ؟  اكو ڤڠمبارا دري تانه سمننجوڠ، برمينت مندڠر اڠن٢ جنين.
Semuanya. 	 سمواڽ.
Nirnama mengukir senyuman nipis. 	 نيرنام مڠوكير سڽومن نيڤيس.
Semua nelayan di situ terpinga-pinga. 	 سموا نلاين دسيتو ترڤيڠا-ڤيڠا.
Mungkin di luar jangkaan mereka bahawa akan ada perantau dari jauh yang mahu mendengar rekayasa Jenin. 	 موڠكين دلوار جڠكاءن مريک بهاوا اكن اد ڤرانتاو دري جاءوه يڠ ماهو مندڠر ريكاياس جنين.
Namun, bicara Nirnama itu membuatkan wajah Jenin berseri-seri. 	 نامون، بيچارا نيرنام ايت ممبواتكن واجه جنين برسري-سري.
Bibirnya koyak dengan senyuman lebar. 	 بيبيرڽ كويق دڠن سڽومن ليبر.
Terus dia bangun. 	 تروس دي باڠون.
Silalah duduk, tuan hamba!   Angin bertiup lembut, bagai mengelus-elus tubuh mereka yang berada di gerai air kelapa ini. 	 سيلاله دودوق، توان همبا!   اڠين برتيوڤ لمبوت، باڬاي مڠلوس-ايلوس توبوه مريک يڠ براد دڬراي اءير كلاڤ اين.
Bau asin laut dan pantai menambah syahdu suasana malam yang ditemani remang cahaya pelita-pelita terpacak di sisi dan di tengah gerai. 	 باءو اسين لاءوت دان ڤنتاي منمبه شهدو سواسان مالم يڠ دتماني رماڠ چهاي ڤليتا٢ ترڤاچق دسيسي دان دتڠه ڬراي.
Tidak ada orang lain lagi di situ kecuali Nirnama, Nadim dan Cendana yang khusyuk mendengar Jenin berkongsi akan angan-angannya untuk mendamaikan Kerajaan Serawa, yang berakhir dengan dirinya menjadi suami kepada Puteri Santubong. 	 تيدق اد اورڠ لاين لاڬي دسيتو كچوالي نيرنام، نديم دان چندانا يڠ خشوع مندڠر جنين بركوڠسي اكن اڠن-اڠنڽ اونتوق مندامايكن كراجاءن سراوا، يڠ برأخير دڠن ديريڽ منجادي سوامي كڤد ڤوتري سنتوبوڠ.
Awal-awalnya, Jelita membebel apabila Jenin tidak lagi naik untuk mengait kelapa, sedang buah kelapa dalam simpanan mereka telah pun habis dijual. 	 اول-اولڽ، جليتا ممببل اڤابيلا جنين تيدق لاڬي ناءيق اونتوق مڠاءيت كلاڤ، سدڠ بواه كلاڤ دالم سيمڤنن مريک تله ڤون هابيس دجوال.
Namun, setelah Nadim memberikan sebahagian wang pemberian Tanggang, kakak kepada Jenin itu beransur dengan senang hati. 	 نامون، ستله نديم ممبريكن سبهاڬين واڠ ڤمبرين تڠڬڠ، كاكق كڤد جنين ايت برانسور دڠن سنڠ هاتي.
Nirnama yang menyuruh Nadim untuk memberikan sejumlah wang bagi membolehkan gerai ini ditutup selama seminggu. 	 نيرنام يڠ مڽوروه نديم اونتوق ممبريكن سجومله واڠ باڬي ممبوليهكن ڬراي اين دتوتوڤ سلاما سميڠڬو.
Bahkan, diberikan pula sebahagiannya kepada Jenin, agar terus bercerita. 	 بهكن، دبريكن ڤولا سبهاڬينڽ كڤد جنين، اڬر تروس برچريتا.
Ini membuatkan Nadim dan Cendana terpinga-pinga, tetapi mereka menuruti sahaja. 	 اين ممبواتكن نديم دان چندانا ترڤيڠا-ڤيڠا، تتاڤي مريک منوروتي سهاج.
Membayangkan bahawa Nirnama ada perancangan tersendiri. 	 ممبايڠكن بهاوا نيرنام اد ڤرانچڠن ترسنديري.
Nelayan-nelayan yang menjadi pelanggan gerai ini pada awalnya turut berkumpul mendengar celoteh Jenin. 	 نلاين٢ يڠ منجادي ڤلڠڬن ڬراي اين ڤد اولڽ توروت بركومڤول مندڠر چلوتيه جنين.
Namun kemudian, masing-masing memilih untuk pulang saat air kelapa telah habis dan malam pun berlabuh. 	 نامون كمودين، ماسيڠ٢ مميليه اونتوق ڤولڠ ساعت اءير كلاڤ تله هابيس دان مالم ڤون برلابوه.
Tiada siapa mahu membazirkan masa mendengar angan-angan Jenin. 	 تياد سياڤا ماهو ممباذيركن ماس مندڠر اڠن٢ جنين.
Bebelan Jenin hanya berhenti saat Nirnama menunaikan Solat fardhu Asar yang digabungkan dengan Zuhur, juga Maghrib yang digabungkan dengan Isya’, disertai Cendana dan Nadim sebagai makmum. 	 بيبيلن جنين هاڽ برهنتي ساعت نيرنام منونايكن صلاة فرض عصر يڠ دڬابوڠكن دڠن ظهر، جوݢ مغرب يڠ دڬابوڠكن دڠن عشاء، دسرتاءي چندانا دان نديم سباڬاي مأموم.
Nadim yang tidak tahu serba serbi berkenaan ibadah itu, sekadar mengikuti Nirnama sahaja. 	 نديم يڠ تيدق تاهو سربا سربي بركناءن عباده ايت، سقدر مڠيكوتي نيرنام سهاج.
Usai mengerjakan solat, mereka tidak menyambung perbualan dengan Jenin. 	 اوساي مڠرجكن صلاة، مريک تيدق مڽمبوڠ ڤربوالن دڠن جنين.
Nirnama meluangkan beberapa waktu membaca mushaf yang sering menemaninya. 	 نيرنام ملواڠكن ببراڤ وقتو ممباچ مصحف يڠ سريڠ منمانيڽ.
Sekali-sekala dapat didengari Cendana meningkah, membaca bersama ayat yang dihafalnya. 	 سكالي-سكالا داڤت ددڠري چندانا منيڠكه، ممباچ برسام ايات يڠ دحافلڽ.
Jelas, Cendana juga pandai membaca mushaf tersebut. 	 جلس، چندانا جوݢ ڤنداي ممباچ مصحف ترسبوت.
Jenin sempat bertanya beberapa perkara akan ibadah-ibadah yang diamalkan oleh Nirnama. 	 جنين سمڤت برتاڽ ببراڤ ڤركارا اكن عباده٢ يڠ دعملكن اوليه نيرنام.
Inilah Islam. 	 اينله إسلام.
Agama kebanyakan orang Tanah Semenanjung. 	 اڬام كباڽقن اورڠ تانه سمننجوڠ.
Aku tahu, pedagang-pedagang dari Tanah Arab dan China ramai beragama ini. 	 اكو تاهو، ڤدڬڠ٢ دري تانه عرب دان چينا راماي برأڬام اين.
Patutlah aku bagaikan pernah melihat ibadah ini semua. 	 ڤاتوتله اكو باڬايكن ڤرنه مليهت عباده اين سموا.
Apakah mereka telah lama tidak berkunjung ke mari?  Semenjak perseteruan antara dua puteri, pedagang yang datang ramainya dari Tanah Semenanjung dan sekitar sini sahaja. 	 اڤاكه مريک تله لاما تيدق بركونجوڠ كماري؟  سمنجق ڤرستروان انتارا دوا ڤوتري، ڤدڬڠ يڠ داتڠ رامايڽ دري تانه سمننجوڠ دان سكيتر سيني سهاج.
Pedagang yang jauh mungkin menganggap tidak berbaloi untuk mereka mengambil risiko berniaga di sini. 	 ڤدڬڠ يڠ جاءوه موڠكين مڠڠڬڤ تيدق بربالوي اونتوق مريک مڠمبيل ريسيكو برنياݢ دسيني.
Perjalanan laut memakan masa yang amat panjang. 	 ڤرجالنن لاءوت مماكن ماس يڠ امت ڤنجڠ.
Baiklah, jadi pandangan engkau, Putera Serapi itu pengamal sihir seperti Jagat Suci? Nadim membawa perbualan mereka kembali kepada tujuan asal. 	 باءيقله، جادي ڤندڠن اڠكاو، ڤوترا سراڤي ايت ڤڠعمل سيحير سڤرتي جاڬت سوچي؟ نديم ممباوا ڤربوالن مريک كمبالي كڤد توجوان اصل.
Jenin mudah mesra dan suka berkongsi apa yang diketahui, terutama angan-angannya untuk membuatkan Putera Serapi pergi. 	 جنين موده مسرا دان سوک بركوڠسي اڤ يڠ دكتاهوءي، ترأوتام اڠن-اڠنڽ اونتوق ممبواتكن ڤوترا سراڤي ڤرڬي.
Dia sebenarnya telah lama memerhatikan Putera Serapi pada waktu-waktu lapang, bahkan terkadang sehingga lewat melaksanakan kerja. 	 دي سبنرڽ تله لاما ممرهاتيكن ڤوترا سراڤي ڤد وقتو٢ لاڤڠ، بهكن تركادڠ سهيڠݢ ليوات ملقساناكن كرجا.
Jenin pantas mengangguk. 	 جنين ڤانتس مڠڠڬوق.
Aku biasa melihat dia menerima dan menghantar gagak, dan berbicara dengan mereka. 	 اكو بياسا مليهت دي منريما دان مڠهنتر ڬاڬق، دان بربيچارا دڠن مريک.
Ada masanya, pada waktu-waktu tertentu, Putera Serapi akan tidak keluar dari istana. 	 اد ماسڽ، ڤد وقتو٢ ترتنتو، ڤوترا سراڤي اكن تيدق كلوار دري ايستان.
Aku telah cuba mengintai pada tempoh tersebut. 	 اكو تله چوبا مڠينتاي ڤد تيمڤوه ترسبوت.
Asap akan keluar berkepul-kepul dari istana Putera Serapi. 	 اسڤ اكن كلوار بركڤول-كڤول دري ايستان ڤوترا سراڤي.
Nirnama, Nadim dan Cendana saling berpandangan. 	 نيرنام، نديم دان چندانا ساليڠ برڤندڠن.
Kemudian, jika diteliti, beberapa perkampungan di sekitar Kerajaan Serawa ini, sering ada tragedi kehilangan gadis sunti. 	 كمودين، جک دتليتي، ببراڤ ڤركامڤوڠن دسكيتر كراجاءن سراوا اين، سريڠ اد تراڬدي كهيلڠن ڬاديس سونتي.
Jenin  berkongsi, wajahnya tegang. 	 جنين بركوڠسي، واجهڽ تڬڠ.
Engkau fikir mereka semua diculik Putera Serapi? Untuk apa? Engkau ada buktinya? Cendana meningkah. 	 اڠكاو فيكير مريک سموا دچوليق ڤوترا سراڤي؟ اونتوق اڤ؟ اڠكاو اد بوقتيڽ؟ چندانا منيڠكه.
Jenin menggeleng. 	 جنين مڠڬيليڠ.
Aku tidak dapat mengintai sepenuh masa. 	 اكو تيدق داڤت مڠينتاي سڤنوه ماس.
Jika aku tiada di rumah terlalu lama, Jelita akan mencari aku. 	 جک اكو تياد درومه ترلالو لاما، جليتا اكن منچاري اكو.
Aku tidak mahu tertangkap mengintai Istana Serapi. 	 اكو تيدق ماهو ترتڠكڤ مڠينتاي ايستان سراڤي.
Buruk padahnya jika sampai ke pengetahuan salah seorang puteri!  Jadi orang-orang yang sering mendengar celoteh engkau selama ini. 	 بوروق ڤدهڽ جک سمڤاي كڤڠتاهوان ساله سأورڠ ڤوتري!  جادي اورڠ٢ يڠ سريڠ مندڠر چلوتيه اڠكاو سلاما اين.
Mereka menyangka aku sekadar berbicara atas angin. 	 مريک مڽڠک اكو سقدر بربيچارا اتس اڠين.
Tanpa pemerhatian. 	 تنڤا ڤمرهاتين.
Jenin tersengih sambil menggaru belakang kepala. 	 جنين ترسڠيه سمبيل مڠڬارو بلاكڠ كڤالا.
Lagipun, hanya nelayan-nelayan di sini yang mendengar celoteh aku. 	 لاڬيڤون، هاڽ نلاين٢ دسيني يڠ مندڠر چلوتيه اكو.
Mereka mengenali aku semenjak kecil. 	 مريک مڠنالي اكو سمنجق كچيل.
Aku memang suka berceloteh, berangan-angan. 	 اكو ميمڠ سوک برچلوتيه، براڠن-اڠن.
Tetapi hakikatnya angan-angan engkau berdasarkan pemerhatian. 	 تتاڤي حقيقتڽ اڠن٢ اڠكاو برداسركن ڤمرهاتين.
Bukan bicara kosong di atas angin. 	 بوكن بيچارا كوسوڠ دأتس اڠين.
Nadim mengangkat ibu jari. 	 نديم مڠڠكت ايبو جاري.
Jenin terus tersengih. 	 جنين تروس ترسڠيه.
Aku tidak sangka ada yang akan ambil berat apa yang aku bicarakan. 	 اكو تيدق سڠک اد يڠ اكن امبيل برت اڤ يڠ اكو بيچاراكن.
Semua orang sekadar mengambilnya sebagai bahan untuk ketawa. 	 سموا اورڠ سقدر مڠمبيلڽ سباڬاي باهن اونتوق كتاوا.
Mereka bagai tidak menghiraukan nasib Kerajaan Serawa yang terlalu lama bergolak. 	 مريک باڬاي تيدق مڠهيراوكن نصيب كراجاءن سراوا يڠ ترلالو لاما برڬولق.
Aku setiap hari memikirkan bagaimana mahu mendamaikan tanah airku. 	 اكو ستياڤ هاري مميكيركن باڬايمان ماهو مندامايكن تانه اءيركو.
Aku cintakan tanah airku ini!  Tetapi engkau juga tiada bukti yang cukup kuat untuk menuduh Putera Serapi. 	 اكو چينتاكن تانه اءيركو اين!  تتاڤي اڠكاو جوݢ تياد بوقتي يڠ چوكوڤ قوات اونتوق منودوه ڤوترا سراڤي.
Aku tidak mampu memerhatikannya sepanjang masa dan merapatinya. 	 اكو تيدق ممڤو ممرهاتيكنڽ سڤنجڠ ماس دان مراڤتيڽ.
