A. 	 ا.
Keringatnya semakin lebat menitik ke bumi. 	 كريڠتڽ سماكين لبت منيتيق كبومي.
Jangan selesa dengan perkembangan terbaru. 	 جاڠن سليسا دڠن ڤركمبڠن تربارو.
Darah hasil tusukan Nirnama tadi memercik. 	 داره حاصيل توسوقن نيرنام تادي ممرچيق.
Semua memandangnya dengan pandangan belas. 	 سموا ممندڠڽ دڠن ڤندڠن بلس.
Selangkah demi selangkah Orang Kaya Besar. 	 سلاڠكه دمي سلاڠكه اورڠ كاي بسر.
Kerutan pada dahinya tambah berlapis-lapis. 	 كروتن ڤد داهيڽ تمبه برلاڤيس-لاڤيس.
Aku hanya mahu engkau keluar dari istanamu. 	 اكو هاڽ ماهو اڠكاو كلوار دري ايستانمو.
Darah mengalir deras dari liang-liang luka. 	 داره مڠالير درس دري لياڠ٢ لوک.
Tapi mujur engkau hadir tepat pada masanya. 	 تاڤي موجور اڠكاو حاضير تڤت ڤد ماسڽ.
Biar pecah di perut, jangan pecah di mulut. 	 بيار ڤچه دڤروت، جاڠن ڤچه دمولوت.
Riak wajah masing-masing penuh tanda tanya. 	 رياق واجه ماسيڠ٢ ڤنوه تندا تاڽ.
Suara itu mengetuk gegendang telinga Nadim. 	 سوارا ايت مڠتوق ڬڬنداڠ تليڠا نديم.
Lantai tanah juga terhambur ke serata arah. 	 لنتاي تانه جوک ترهمبور كسرات اره.
Dalam masa sebentar, istana itu kami tawan. 	 دالم ماس سبنتر، ايستان ايت كامي تاون.
Saudara-saudara, aku tahu keperluan kalian. 	 ساودارا٢، اكو تاهو كڤرلوان كالين.
Dikenali sebagai Orang Kaya Besar Tanggang. 	 دكنلي سباڬاي اورڠ كاي بسر تڠڬڠ.
Apa sahaja engkau pinta, akan aku usahakan. 	 اڤ سهاج اڠكاو ڤينتا، اكن اكو اوسهاكن.
Memerhati Nadim dijulurkan ke luar bahtera. 	 ممرهاتي نديم دجولوركن كلوار بهترا.
Ketika itu dia masih ada penyelesaian lain. 	 كتيک ايت دي ماسيه اد ڤڽلساين لاءين.
Kita tak boleh berputus asa! Banang bangun. 	 كيت تق بوليه برڤوتوس اسا! بانڠ باڠون.
Dia dan empat rakannya saling berpandangan. 	 دي دان امڤت راكنڽ ساليڠ برڤندڠن.
Nirnama terseret ke belakang beberapa depa. 	 نيرنام ترسيريت كبلاكڠ ببراڤ دڤا.
Nirnama memerhatikan pakaiannya yang rabak. 	 نيرنام ممرهاتيكن ڤاكاينڽ يڠ رابق.
Redup sahaja pandangan lelaki berparut itu. 	 ردوڤ سهاج ڤندڠن للاكي برڤاروت ايت.
Demikian datuk nenek dan penjaga belantara. 	 دمكين داتوق نينيق دان ڤنجاݢ بلنتارا.
Suasana diserkup sepi buat beberapa ketika. 	 سواسان دسركوڤ سڤي بوات ببراڤ كتيک.
Aku sudah mendapatkan kerehatan yang cukup. 	 اكو سوده منداڤتكن كريهتن يڠ چوكوڤ.
Dua puteri saling berperang sesama sendiri. 	 دوا ڤوتري ساليڠ برڤرڠ سسام سنديري.
Cendana tertawa melihat ulah mereka berdua. 	 چندانا ترتاوا مليهت اوله مريک بردوا.
Demikian orang-orang kaya di sekelilingnya. 	 دمكين اورڠ٢ كاي دسكليليڠڽ.
Diekori dentuman yang membingitkan telinga. 	 دإيكوري دنتومن يڠ ممبيڠيتكن تليڠا.
Bahagian mata Orang Kaya Besar itu merekah. 	 بهاڬين مات اورڠ كاي بسر ايت مركه.
Aku adalah orang yang tahu berterima kasih. 	 اكو اداله اورڠ يڠ تاهو برتريما كاسيه.
Menyeringai sehingga kelihatan gigi taring. 	 مڽريڠاي سهيڠݢ كليهتن ڬيڬي تاريڠ.
Hampir sahaja dia meloncat akibat terkejut. 	 همڤير سهاج دي ملونچت عاقبة تركجوت.
Mungkin berpangkat panglima atau laksamana. 	 موڠكين برڤڠكت ڤڠليما اتاو لقسامان.
Namun, serangan itu tidak membuahkan hasil. 	 نامون، سرڠن ايت تيدق ممبواهكن حاصيل.
Dia mengangkat muka, menatap wajah Cendana. 	 دي مڠڠكت موک، مناتڤ واجه چندانا.
Punca masalah sebenar adalah Putera Serapi. 	 ڤونچا مسئله سبنر اداله ڤوترا سراڤي.
Aku kira, Jenin berpandangan jauh orangnya. 	 اكو كيرا، جنين برڤندڠن جاءوه اورڠڽ.
Aku memang suka berceloteh, berangan-angan. 	 اكو ميمڠ سوک برچلوتيه، براڠن-اڠن.
Jagat Suci sempat mempamerkan kesaktiannya. 	 جاڬت سوچي سمڤت ممڤاميركن كسقتينڽ.
Sekarang?  Giliran Cendana untuk tersenyum. 	 سكارڠ؟  ڬيليرن چندانا اونتوق ترسڽوم.
Tetapi suatu nekad yang mahu disempurnakan. 	 تتاڤي سواتو نيكد يڠ ماهو دسمڤورناكن.
Aku berpendapat, mereka saling menyalahkan. 	 اكو برڤنداڤت، مريک ساليڠ مڽالهكن.
Melihatkan ulah itu, Cendana tertawa kecil. 	 مليهتكن اوله ايت، چندانا ترتاوا كچيل.
Di sekeliling mereka terdapat banyak rumah. 	 دسكليليڠ مريک ترداڤت باڽق رومه.
Aku ini baru balik dari mengumpul kayu api. 	 اكو اين بارو باليق دري مڠومڤول كايو اڤي.
Keadaan membuatkan mereka berhimpit-himpit. 	 كأداءن ممبواتكن مريک برهيمڤيت-هيمڤيت.
Semua yang disentuhnya berasa amat gembira. 	 سموا يڠ دسنتوهڽ براس امت ڬمبيرا.
Dia terasa seperti mahu membuka pakaiannya. 	 دي تراس سڤرتي ماهو ممبوک ڤاكاينڽ.
Bukankah begitu? Nirnama memandang Cendana. 	 بوكنكه بڬيتو؟ نيرنام ممندڠ چندانا.
Jagat Suci hanya tersenyum memandang semua. 	 جاڬت سوچي هاڽ ترسڽوم ممندڠ سموا.
Salah satu daripada tiga wajah sebelum ini. 	 ساله ساتو درڤد تيݢ واجه سبلوم اين.
Wajah di tengah bulatan berapi itu terdiam. 	 واجه دتڠه بولتن براڤي ايت ترديام.
Kata-kata itu membuatkan Cendana tersenyum. 	 كات٢ ايت ممبواتكن چندانا ترسڽوم.
Bermula dengan ayahanda, kemudian bondanya. 	 برمولا دڠن ايهندا، كمودين بونداڽ.
Mungkin dia menyedari aku akan mengejarnya. 	 موڠكين دي مڽدري اكو اكن مڠجرڽ.
Tertutup sepenuhnya tubuh Puteri Santubong. 	 ترتوتوڤ سڤنوهڽ توبوه ڤوتري سنتوبوڠ.
Apakah engkau bersamaku?  Sudah semestinya. 	 اڤاكه اڠكاو برسامكو؟  سوده سمستيڽ.
Tetapi itu tidak membuatkannya senang hati. 	 تتاڤي ايت تيدق ممبواتكنڽ سنڠ هاتي.
Pengamal Silat Tanpa Nama!  Dia mengangguk. 	 ڤڠعمل سيلت تنڤا نام!  دي مڠڠڬوق.
Semua yang berada di lapangan itu tergamam. 	 سموا يڠ براد دلاڤڠن ايت ترڬامم.
Berdesir nama silat itu meniti di bibirnya. 	 بردسير نام سيلت ايت منيتي دبيبيرڽ.
Menderu tanpa dapat dihalang pergerakannya. 	 مندرو تنڤا داڤت دهالڠ ڤرڬرقنڽ.
Nirnama memandang ke arah Puteri Santubong. 	 نيرنام ممندڠ كأره ڤوتري سنتوبوڠ.
Cendana berdesir sambil menoleh ke arahnya. 	 چندانا بردسير سمبيل منوليه كأرهڽ.
Biarlah yang lain berada di sini, bertahan. 	 بيارله يڠ لاءين براد دسيني، برتاهن.
Isteriku meninggalkan aku kerana aku cacat. 	 استريكو منيڠڬلكن اكو كران اكو چاچت.
Sentiasa bersiaga untuk segala kemungkinan. 	 سنتياس برسياݢ اونتوق سڬالا كموڠكينن.
Supaya kita hidup ada disiplin dan tamadun. 	 سوڤاي كيت هيدوڤ اد ديسيڤلين دان تمدون.
Dia mengacukan keris ke arah Jalak Bentala. 	 دي مڠاچوكن كريس كأره جالق بنتالا.
Nirnama menyerbu!   Matanya terpisat-pisat. 	 نيرنام مڽربو!  ماتڽ ترڤيست-ڤيست.
Dia melihat Adiwaja bergerak ke satu sudut. 	 دي مليهت اديواج برڬرق كساتو سودوت.
Kedua-duanya sedang menunaikan solat malam. 	 كدوا-دواڽ سدڠ منونايكن صلاة مالم.
Menaiki takhta semenjak usianya awal 20-an. 	 مناءيقي تختا سمنجق اوسياڽ اول 20-ان.
Kami telah mempunyai hubungan semenjak itu. 	 كامي تله ممڤوڽاءي هوبوڠن سمنجق ايت.
Dengan setiap tujahan, angin kuat terhasil. 	 دڠن ستياڤ توجهن، اڠين كوات ترحاصيل.
Nirnama berhenti daripada membaca Tiga Qul. 	 نيرنام برهنتي درڤد ممباچ تيݢ قول.
Mereka mahu melawan Nirnama secara fizikal. 	 مريک ماهو ملاون نيرنام سچارا فيزيكل.
Kalian tidak perasan kerana keadaan gelita. 	 كالين تيدق ڤراسن كران كأداءن ڬليتا.
Tangan kirinya melepaskan Puteri Sejinjang. 	 تاڠن كيريڽ ملڤسكن ڤوتري سجينجڠ.
Puteri Santubong juga kehilangan kata-kata. 	 ڤوتري سنتوبوڠ جوݢ كهيلڠن كات٢.
Nirnama melayarkan pandangan ke arah Jenin. 	 نيرنام ملايركن ڤندڠن كأره جنين.
Nirnama mengukir senyuman nipis yang manis. 	 نيرنام مڠوكير سڽومن نيڤيس يڠ مانيس.
Langit cerah berhias gemawan-gemawan putih. 	 لاڠيت چره برهياس ڬيموان٢ ڤوتيه.
Kuat Nadim ketawa hingga terembes air mata. 	 قوات نديم كتاوا هيڠݢ ترمبيس اءير مات.
Nirnama dan Cendana sama-sama ketawa kecil. 	 نيرنام دان چندانا سام٢ كتاوا كچيل.
Pendekar dan srikandi atas jalan kebenaran. 	 ڤنديكر دان سريكندي اتس جالن كبنرن.
Bermakna dia semakin sukar untuk ditangani. 	 برمعنا دي سماكين سوكر اونتوق دتاڠني.
Jebat teruja sehingga mengepalkan penumbuk. 	 جبت تروجا سهيڠݢ مڠڤلكن ڤنومبوق.
Aku lebih berani sekarang, tahu!  Ah, ayuh. 	 اكو لبيه براني سكارڠ، تاهو!  اه، ايوه.
Dia sudah terlalu lemas dalam pencariannya. 	 دي سوده ترلالو لمس دالم ڤنچارينڽ.
Dahi gurunya menyentuh tubuh Sultan Mansur. 	 داهي ڬوروڽ مڽنتوه توبوه سلطان منصور.
Seakan-akan alam ini bersatu dengan mereka. 	 سأكن-اكن عالم اين برساتو دڠن مريک.
Nirnama pula dilihat hanya tersenyum nipis. 	 نيرنام ڤولا دليهت هاڽ ترسڽوم نيڤيس.
Sebentar, apakah Laksamana Utama Tuha juga. 	 سبنتر، اڤاكه لقسامان اوتام توها جوݢ.
Tun Nirmala ketawa kuat sebelum menggeleng. 	 تون نيرمالا كتاوا قوات سبلوم مڠڬيليڠ.
Tidak kira dia berhadapan dengan siapa pun. 	 تيدق كيرا دي برهادڤن دڠن سياڤا ڤون.
Ahli rombongan itu termasuk Tuha dan Jebat. 	 اهلي رومبوڠن ايت ترماسوق توها دان جبت.
Pandangannya dan pandangan Nirnama bertaut. 	 ڤندڠنڽ دان ڤندڠن نيرنام برتاءوت.
Ampun, tuanku! Tun Nirmala pantas mencelah. 	 امڤون، توانكو! تون نيرمالا ڤانتس منچله.
Kenapa, budak? Engkau takut? Jebat tertawa. 	 كناڤ، بودق؟ اڠكاو تاكوت؟ جبت ترتاوا.
Jebat sedang di hadapan, menggantikan Tuha. 	 جبت سدڠ دهادڤن، مڠڬنتيكن توها.
Puteri Gunung Ledang tidak segera membalas. 	 ڤوتري ڬونوڠ ليدڠ تيدق سڬرا ممبالس.
Agama ini bukan sekadar sejadah dan masjid. 	 اڬام اين بوكن سقدر سجاده دان مسجد.
Dia merupakan mimpi yang menjadi kenyataan. 	 دي مروڤاكن ميمڤي يڠ منجادي كڽاتاءن.
Engkau pemimpin utama tentera kerajaan ini. 	 اڠكاو ڤميمڤين اوتام تنترا كراجاءن اين.
Bukan datang daripada sihir dan sebagainya. 	 بوكن داتڠ درڤد سيحير دان سباڬايڽ.
Pertama kali memandang dari sudut tersebut. 	 ڤرتام كالي ممندڠ دري سودوت ترسبوت.
Tetapi hakikatnya ini bukan kebolehan kita. 	 تتاڤي حقيقتڽ اين بوكن كبوليهن كيت.
Untuk kelanamu, ini kelebihan yang penting. 	 اونتوق كلانمو، اين كلبيهن يڠ ڤنتيڠ.
Kabus di hadapannya bagai menyisih ke tepi. 	 كابوس دهادڤنڽ باڬاي مڽيسيه كتڤي.
Nirnama menyendengkan tubuh, mengelak lagi. 	 نيرنام مڽينديڠكن توبوه، مڠيلق لاڬي.
Sudu itu akan diselitkan pada ibu jari jua. 	 سودو ايت اكن دسليتكن ڤد ايبو جاري جوا.
Berdesis balasan salam pada bibir Alauddin. 	 بردسيس بالسن سلام ڤد بيبير علاءالدين.
Ini keris ayahandamu, Tuanku Sultan Mansur. 	 اين كريس ايهندامو، توانكو سلطان منصور.
Mengapa, kakanda?  Aku tidak memerlukannya. 	 مڠاڤ، ككندا؟  اكو تيدق ممرلوكنڽ.
Kedua-dua penumbuk kembali dikepalnya erat. 	 كدوا-دوا ڤنومبوق كمبالي دكڤلڽ ارت.
Biarlah dia bersamamu sehingga pengakhiran. 	 بيارله دي برساممو سهيڠݢ ڤڠأخيرن.
Nirnama melemparkan pandangan ke pintu gua. 	 نيرنام مليمڤركن ڤندڠن كڤينتو ڬوا.
Namun, dia tidak bergerak, kekal berteleku. 	 نامون، دي تيدق برڬرق، ككل برتلكو.
Dia membaca tiga Qul, diikuti Ayatul Qursi. 	 دي ممباچ تيݢ قول، دإيكوتي ايات الكرسى.
Jin ada aneka macam dan umur masing-masing. 	 جين اد انيک ماچم دان عمور ماسيڠ٢.
Menghasilkan tekanan, pergaduhan, sengketa. 	 مڠحاصيلكن تكنن، ڤرڬادوهن، سڠکتا.
Jelas, dia mahu menamatkan pertarungan ini. 	 جلس، دي ماهو منمتكن ڤرتاروڠن اين.
Wajah Jagat Suci serta-merta menjadi keruh. 	 واجه جاڬت سوچي سرتا-مرتا منجادي كروه.
Mungkin adinda perlu benar-benar bertenang. 	 موڠكين اديندا ڤرلو بنر٢ برتنڠ.
Dunia ini lebih luas daripada ajaran Islam. 	 دنيا اين لبيه لواس درڤد اجرن إسلام.
Tiba-tiba, Tuha muncul di belakang Nirnama. 	 تيبا٢، توها مونچول دبلاكڠ نيرنام.
Membuatkan Nirnama terpaksa terus melompat. 	 ممبواتكن نيرنام ترڤقسا تروس ملومڤت.
Tetapi kemudian, langkahan mereka terhenti. 	 تتاڤي كمودين، لڠكهن مريک ترهنتي.
Beta bertitah agar mereka berkumpul segera. 	 بيت برتيته اڬر مريک بركومڤول سڬرا.
Bahu Alauddin ditepuk-tepuk lembut Nirnama. 	 باهو علاءالدين دتڤوڤ-تڤوڤ لمبوت نيرنام.
Pewaris sebenar pemerintahan Semutar Putih. 	 ڤواريث سبنر ڤمرينتهن سموتر ڤوتيه.
Setelah lama di sini, mataku telah terbuka. 	 ستله لاما دسيني، ماتكو تله تربوک.
Tetapi Nirnama lincah mengelak dan menepis. 	 تتاڤي نيرنام لينچه مڠيلق دان منڤيس.
Letakkanlah dunia di tangan, bukan di hati. 	 لتقكنله دنيا دتاڠن، بوكن دهاتي.
Dia menyerahkan Taming Sari yang bersarung. 	 دي مڽرهكن تاميڠ ساري يڠ برساروڠ.
Seluruh agamamu merupakan satu kesia-siaan. 	 سلوروه اڬاممو مروڤاكن ساتو كسيا-سياءن.
Kelam-kabut Kasturi mencapai hulu kerisnya. 	 كلم-كابوت كستوري منچاڤاي هولو كريسڽ.
Zirah Cendana rabak, demikian juga Kasturi. 	 زيراه چندانا رابق، دمکين جوݢ كستوري.
Sekarang, mampus!  Dia menggerakkan tangan. 	 سكارڠ، ممڤوس!  دي مڠڬرقكن تاڠن.
Jagat Suci melangkah ke arah Sultan Mansur. 	 جاڬت سوچي ملڠكه كأره سلطان منصور.
Itu saat kalian punya kesatuan yang tinggi. 	 ايت ساعت كالين ڤوڽا كساتوان يڠ تيڠڬي.
Memecahkan sihir yang engkau katakan sakti. 	 ممچهكن سيحير يڠ اڠكاو كاتاكن سقتي.
Ah, aku perlukan lawan yang lebih mencabar. 	 اه، اكو ڤرلوكن لاون يڠ لبيه منچابر.
Pandangan redupnya mengenai nujum tersebut. 	 ڤندڠن ريدوڤڽ مڠناءي نجوم ترسبوت.
Terus Nirnama tertawa kecil dan menggeleng. 	 تروس نيرنام ترتاوا كچيل دان مڠڬيليڠ.
Benarkah?! Jenin mencelah, jelas kerisauan. 	 بنركه؟! جنين منچله، جلس كريساوان.
Apatah lagi setelah tewasnya Jalak Bentala. 	 اڤاته لاڬي ستله تيواسڽ جالق بنتالا.
Kemudian, Puteri Santubong memandang Jenin. 	 كمودين، ڤوتري سنتوبوڠ ممندڠ جنين.
Aku ada mengenali insan yang rela membantu. 	 اكو اد مڠنالي انسان   يڠ ريلا ممبنتو.
Sekarang engkau banyak menyebut nama Allah. 	 سكارڠ اڠكاو باڽق مڽبوت نام الله.
Adiwaja mempamerkan giginya yang putih itu. 	 اديواج ممڤاميركن ڬيڬيڽ يڠ ڤوتيه ايت.
Adiwaja menalakan wajah ke arah Jagat Suci. 	 اديواج منالاكن واجه كأره جاڬت سوچي.
Kemudian, dia terkulai di pangkuan Nirnama. 	 كمودين، دي تركولاي دڤڠكوان نيرنام.
Dia tidak mengetahui akan hakikat tersebut. 	 دي تيدق مڠتاهوءي اكن حقيقة ترسبوت.
Anakanda pergi mengembara membuktikan diri. 	 انقندا ڤرڬي مڠمبارا ممبوقتيكن ديري.
Belahan itu telah dijahit oleh Nujum Surya. 	 بلهن ايت تله دجاهيت اوليه نجوم سوريا.
Jagat Suci melihat kecederaan pada dadanya. 	 جاڬت سوچي مليهت كچدراءن ڤد داداڽ.
Namun, keadaan itu berlaku sebentar sahaja. 	 نامون، كأداءن ايت برلاكو سبنتر سهاج.
Ah, mereka merupakan sahabat patik, tuanku. 	 اه، مريک مروڤاكن صحابة ڤاتيق، توانكو.
Sebelum kita bermula, aku ada satu tawaran. 	 سبلوم كيت برمولا، اكو اد ساتو تاورن.
Mengelak setiap libasan taji Si Putih Mata. 	 مڠيلق ستياڤ ليبسن تاجي سي ڤوتيه مات.
Ya, dan dia mahu mengubah kehidupannya itu. 	 يا، دان دي ماهو مڠوبه كهيدوڤنڽ ايت.
Semua membuka langkah menuruni anak tangga. 	 سموا ممبوک لڠكه منوروني انق تڠݢ.
Pandangannya hanya tertumpu kepada Nirnama. 	 ڤندڠنڽ هاڽ ترتومڤو كڤد نيرنام.
Mari!  Raja Ong Maha Perita Deria bersiaga. 	 ماري!  راج اوڠ مها ڤريتا دريا برسياݢ.
Taming Sari tidak dapat menembusi tubuhnya. 	 تاميڠ ساري تيدق داڤت منمبوسي توبوهڽ.
Tetapi kali ini dia tidak sekadar mengelak. 	 تتاڤي كالي اين دي تيدق سقدر مڠيلق.
Dia berhenti sekitar dua depa dari Nirnama. 	 دي برهنتي سكيتر دوا دڤا دري نيرنام.
Panglima Hamzah menarik nafas amat panjang. 	 ڤڠليما حمزه مناريق نفس امت ڤنجڠ.
Mereka tidak akan membantu Indera Kayangan. 	 مريک تيدق اكن ممبنتو ايندرا كايڠن.
Namun, dalam hatinya tiada sekelumit gerun. 	 نامون، دالم هاتيڽ تياد سكلوميت ڬرون.
Sesuatu yang dia yakin, Nadim juga perasan. 	 سسواتو يڠ دي يقين، نديم جوݢ ڤراسن.
Kata-kata itu membuatkan Nirnama berpaling. 	 كات٢ ايت ممبواتكن نيرنام برڤاليڠ.
Kendatipun begitu, Alauddin kekal bertahan. 	 كنداتيڤون بڬيتو، علاءالدين ككل برتاهن.
Bulat mata Alauddin memerhatikan semua itu. 	 بولت مات علاءالدين ممرهاتيكن سموا ايت.
Tanpa bertangguh, dia melancarkan tumbukan. 	 تنڤا برتڠݢوه، دي ملنچركن تومبوقن.
Pendekar berparut di hadapannya menggeleng. 	 ڤنديكر برڤاروت دهادڤنڽ مڠڬيليڠ.
Hatta Alauddin terpaksa menutup telinganya. 	 حتى علاءالدين ترڤقسا منوتوڤ تليڠاڽ.
Jagat Suci benar-benar ketawa sepenuh jiwa. 	 جاڬت سوچي بنر٢ كتاوا سڤنوه جيوا.
Jika mahu terus hidup, terimalah tawaranku. 	 جک ماهو تروس هيدوڤ، تريماله تاورنكو.
Usah sia-siakan nyawa dan kelebihan kalian. 	 اوسه سيا-سياكن ڽاوا دان كلبيهن كالين.
Seluruh tubuh Alauddin kini diselimuti api. 	 سلوروه توبوه علاءالدين كيني دسليموتي اڤي.
Celaka! Terundur Jagat Suci beberapa tapak. 	 چلاک! تراوندور جاڬت سوچي ببراڤ تاڤق.
Seterusnya sayap tunggalnya dikibas pantas. 	 ستروسڽ سايڤ توڠڬلڽ دكيبس ڤانتس.
Dada berombak akibat nafas yang turun naik. 	 دادا برومبق عاقبة نفس يڠ تورون ناءيق.
Ini bukan kisah perlunasan dendam peribadi. 	 اين بوكن قيصه ڤرلونسن دندم ڤريبادي.
Injakan Sang Kelembai hanya mengenai tanah. 	 إينجقن سڠ كلمباي هاڽ مڠناءي تانه.
Engkau tidak mampu bertarung tanpa melihat. 	 اڠكاو تيدق ممڤو برتاروڠ تنڤا مليهت.
Kain itu kehitam-hitaman dan berbau hangit. 	 كاءين ايت كهيتم-هيتمن دان برباءو هاڠيت.
Nujum Surya menghentak tongkatnya ke tanah. 	 نجوم سوريا مڠهنتق توڠكتڽ كتانه.
Sisa-sisa kudrat dikumpulkannya tanpa jeda. 	 سيسا٢ قدرت دكومڤولكنڽ تنڤا جيدا.
Nirnama bergulingan, cuba menjarakkan diri. 	 نيرنام برڬوليڠن، چوبا منجارقكن ديري.
Alauddin menoleh ke arah Nirnama dan Nadim. 	 علاءالدين منوليه كأره نيرنام دان نديم.
Nirnama bersuara, kemudian tersenyum nipis. 	 نيرنام برسوارا، كمودين ترسڽوم نيڤيس.
Dengan izin Allah, bersama perkenan tuanku. 	 دڠن ايذين الله، برسام ڤركنن توانكو.
Jebat menyiku lembut adinda seperguruannya. 	 جبت مڽيكو لمبوت اديندا سڤرڬوروانڽ.
Matanya menatap Nirnama dengan penuh kasih. 	 ماتڽ مناتڤ نيرنام دڠن ڤنوه كاسيه.
Tun Nirmala menepuk belakang tubuh Nirnama. 	 تون نيرمالا منڤوق بلاكڠ توبوه نيرنام.
Setiap hayunan cangkul, dia membayangkannya. 	 ستياڤ هايونن چڠكول، دي ممبايڠكنڽ.
Engkau telah menghina aku dan orang-orangku. 	 اڠكاو تله مڠهينا اكو دان اورڠ-اورڠكو.
Dialah Yang Maha Perkasa lagi Maha Berkuasa. 	 ديله يڠ مها ڤركاس لاڬي مها بركواس.
Sudah lama dia tidak merasai damai sebegitu. 	 سوده لاما دي تيدق مراساءي داماي سبڬيتو.
Jika engkau mahu tinggal, engkau tinggallah. 	 جک اڠكاو ماهو تيڠڬل، اڠكاو تيڠݢلله.
Ini jalan yang pastinya mereka sering lalui. 	 اين جالن يڠ ڤستيڽ مريک سريڠ لالوا.
Ayuh! Lembaga itu terus menyambung serangan. 	 ايوه! لمبݢ ايت تروس مڽمبوڠ سرڠن.
Begitu tulus Nirnama dan Jebat memuji Tuhan. 	 بڬيتو تولوس نيرنام دان جبت مموجي توهن.
Mata Jebat kini berubah menjadi mata helang. 	 مات جبت كيني براوبه منجادي مات هلاڠ.
Sarat dengan orang ramai yang berurus niaga. 	 سارت دڠن اورڠ راماي يڠ براوروس نياݢ.
Semenjak tadi dia memerhati dari warung ini. 	 سمنجق تادي دي ممرهاتي دري واروڠ اين.
Bau asin air laut pula menusuk-nusuk rongga. 	 باءو اسين اءير لاءوت ڤولا منوسوق-نوسوق روڠݢ.
Semua tumbang di bawah kesaktian Jagat Suci. 	 سموا تومبڠ دباوه كسقتين جاڬت سوچي.
Wajah girang Tanggang berubah menjadi keruh. 	 واجه ڬيرڠ تڠڬڠ براوبه منجادي كروه.
Awang kembali memandang dia dan rakan-rakan. 	 اوڠ كمبالي ممندڠ دي دان راكن٢.
Satu sentuhan yang tidak pernah dia rasakan. 	 ساتو سنتوهن يڠ تيدق ڤرنه دي راسكن.
Akhirnya!  Dia tidak pasti apa yang berlaku. 	 اخيرڽ!  دي تيدق ڤستي اڤ يڠ برلاكو.
Kedua-dua belah tangan Nirnama mula beralun. 	 كدوا-دوا بله تاڠن نيرنام مولا برالون.
Lima batang jarum tadi hilang entah ke mana. 	 ليم باتڠ جاروم تادي هيلڠ انته كمان.
Dia terlentang begitu sahaja di atas pentas. 	 دي ترلنتڠ بڬيتو سهاج دأتس ڤنتس.
Jiwa Cendana bagaikan dibelai bayu bersalju. 	 جيوا چندانا باڬايكن دبلاي بايو برثلجو.
Miskin tidak berkuasa untuk berbuat apa-apa. 	 ميسكين تيدق بركواس اونتوق بربوات اڤ٢.
Mujur Nirnama memegang bahunya dengan kejap. 	 موجور نيرنام ممڬڠ باهوڽ دڠن كجڤ.
Ramai yang terkejut dengan apa yang berlaku. 	 راماي يڠ تركجوت دڠن اڤ يڠ برلاكو.
Semua hanya mahu menyelamatkan diri sendiri. 	 سموا هاڽ ماهو مڽلامتكن ديري سنديري.
Nirnama dan Cendana saling berbalas pandang. 	 نيرنام دان چندانا ساليڠ بربالس ڤندڠ.
Sebahagian air kelapa itu membasahi bajunya. 	 سبهاڬين اير كلاڤ ايت ممباساهي باجوڽ.
Mungkin inilah juga petunjuk daripada Allah. 	 موڠكين اينله جوݢ ڤتونجوق درڤد الله.
Dia berteleku sambil duduk antara dua sujud. 	 دي برتلكو سمبيل دودوق انتارا دوا سجود.
Kita sudah boleh melihatnya! Jenin menunjuk. 	 كيت سوده بوليه مليهتڽ! جنين منونجوق.
Namun, kuda tersebut semakin tidak terkawal. 	 نامون، كودا ترسبوت سماكين تيدق تركاول.
Jatuh betul-betul berhampiran Putera Serapi. 	 جاتوه بتول٢ برهمڤيرن ڤوترا سراڤي.
Sangat berkesan terutama kepada kaum wanita. 	 ساڠت بركسن ترأوتام كڤد قوم وانيتا.
Pemerintah Indera Kayangan itu berseorangan. 	 ڤمرينته ايندرا كايڠن ايت برسأورڠن.
Ramai yang kekal terpana, bagai dibuai-buai. 	 راماي يڠ ككل ترڤان، باڬاي دبواي-بواي.
Kita berkenalan belum terlalu lama, Nirnama. 	 كيت بركنلن بلوم ترلالو لاما، نيرنام.
Sehingga tiada lagi api yang menjilat rumah. 	 سهيڠݢ تياد لاڬي اڤي يڠ منجيلت رومه.
Tidak cukup dalam dek kudratnya yang terhad. 	 تيدق چوكوڤ دالم ديک قدرتڽ يڠ ترحد.
Setiap hayunan cangkul, dia membayangkannya. 	 ستياڤ هايونن چڠكول، دي ممبايڠكنڽ.
Sekarang! Puteri Santubong menghayun tangan. 	 سكارڠ! ڤوتري سنتوبوڠ مڠهايون تاڠن.
Maka di situ kita melatih diri untuk berani. 	 مک دسيتو كيت ملاتيه ديري اونتوق براني.
Kemudian, dia menghenyak punggung, terduduk. 	 كمودين، دي مڠهڽق ڤوڠڬوڠ، تردودوق.
Langkahan mereka menyerbu Nirnama terbantut. 	 لڠكهن مريک مڽربو نيرنام تربنتوت.
Dia terkenal sebagai Nirnama, tuanku puteri. 	 دي تركنل سباڬاي نيرنام، توانكو ڤوتري.
Tuanku puteri, jika diizinkan aku berbicara. 	 توانكو ڤوتري، جک دإيذينكن اكو بربيچارا.
Namun, senyuman Nirnama itu tiba-tiba pudar. 	 نامون، سڽومن نيرنام ايت تيبا٢ ڤودر.
Kalamnya mati tatkala dia menyedari sesuatu. 	 كلامڽ ماتي تتكالا دي مڽدري سسواتو.
Pantas dia mengangguk dan mengangkat sembah. 	 ڤانتس دي مڠڠڬوق دان مڠڠكت سمبه.
Dialah yang menarikku keluar dari kegelapan. 	 دياله يڠ مناريقكو كلوار دري كڬلاڤن.
